freq,power
8023.5,2.00E-05
8024,1.37E-05
8024.5,1.55E-05
8025,2.33E-05
8025.5,2.45E-05
8026,2.10E-05
8026.5,2.28E-05
8027,1.87E-05
8027.5,1.47E-05
8028,1.83E-05
8028.5,2.56E-05
8029,1.98E-05
8029.5,2.04E-05
8030,2.19E-05
8030.5,1.98E-05
8031,2.14E-05
8031.5,2.77E-05
8032,2.54E-05
8032.5,1.33E-05
8033,1.13E-05
8033.5,2.59E-05
8034,2.57E-05
8034.5,1.57E-05
8035,7.68E-06
8035.5,6.12E-06
8036,2.50E-05
8036.5,2.43E-05
8037,1.24E-05
8037.5,8.04E-06
8038,9.15E-06
8038.5,8.96E-06
8039,1.53E-05
8039.5,2.70E-05
8040,2.82E-05
8040.5,1.94E-05
8041,2.91E-05
8041.5,2.52E-05
8042,2.39E-05
8042.5,1.88E-05
8043,1.20E-05
8043.5,1.87E-05
8044,1.98E-05
8044.5,1.66E-05
8045,2.32E-05
8045.5,2.57E-05
8046,2.89E-05
8046.5,3.33E-05
8047,2.16E-05
8047.5,3.47E-05
8048,4.26E-05
8048.5,2.03E-05
8049,1.74E-05
8049.5,1.28E-05
8050,1.43E-05
8050.5,2.55E-05
8051,1.45E-05
8051.5,1.93E-05
8052,3.88E-05
8052.5,2.35E-05
8053,1.42E-05
8053.5,3.30E-05
8054,3.14E-05
8054.5,1.32E-05
8055,2.03E-05
8055.5,1.05E-05
8056,7.86E-06
8056.5,1.77E-05
8057,2.00E-05
8057.5,1.78E-05
8058,2.80E-05
8058.5,1.22E-05
8059,3.01E-05
8059.5,3.55E-05
8060,2.01E-05
8060.5,1.64E-05
8061,1.24E-05
8061.5,2.07E-05
8062,3.08E-05
8062.5,1.12E-05
8063,1.61E-05
8063.5,2.33E-05
8064,2.51E-05
8064.5,1.62E-05
8065,1.46E-05
8065.5,1.63E-05
8066,1.63E-05
8066.5,2.38E-05
8067,1.42E-05
8067.5,1.40E-05
8068,1.57E-05
8068.5,1.39E-05
8069,1.90E-05
8069.5,3.35E-05
8070,2.43E-05
8070.5,2.43E-05
8071,2.33E-05
8071.5,1.77E-05
8072,1.81E-05
8072.5,2.99E-05
8073,3.14E-05
8073.5,2.95E-05
8074,1.75E-05
8074.5,1.93E-05
8075,1.92E-05
