Frequency [Hz] - Plot 0,nm^2/Hz - Plot 0,temp [K],averages
50887,1.63E-05,,
50887.5,1.98E-05,,
50888,2.85E-05,,
50888.5,1.98E-05,,
50889,2.29E-05,,
50889.5,2.23E-05,,
50890,2.14E-05,,
50890.5,1.89E-05,,
50891,2.45E-05,,
50891.5,2.49E-05,,
50892,2.04E-05,,
50892.5,1.91E-05,,
50893,1.65E-05,,
50893.5,1.85E-05,,
50894,1.71E-05,,
50894.5,2.20E-05,,
50895,2.75E-05,,
50895.5,2.40E-05,,
50896,2.14E-05,,
50896.5,2.41E-05,,
50897,2.14E-05,,
50897.5,1.86E-05,,
50898,1.47E-05,,
50898.5,2.78E-05,,
50899,3.25E-05,,
50899.5,2.35E-05,,
50900,2.03E-05,,
50900.5,1.55E-05,,
50901,2.07E-05,,
50901.5,1.84E-05,,
50902,1.86E-05,,
50902.5,2.65E-05,,
50903,2.88E-05,,
50903.5,2.44E-05,,
50904,3.05E-05,,
50904.5,2.28E-05,,
50905,1.35E-05,,
50905.5,1.75E-05,,
50906,2.68E-05,,
50906.5,3.33E-05,,
50907,4.82E-05,,
50907.5,4.12E-05,,
50908,3.26E-05,,
50908.5,3.11E-05,,
50909,2.72E-05,,
50909.5,2.34E-05,,
50910,2.24E-05,,
50910.5,2.27E-05,,
50911,2.57E-05,,
50911.5,3.04E-05,,
50912,2.10E-05,,
50912.5,1.46E-05,,
50913,1.41E-05,,
50913.5,1.71E-05,,
50914,2.90E-05,,
50914.5,3.37E-05,,
50915,2.74E-05,,
50915.5,3.19E-05,,
50916,1.80E-05,,
50916.5,1.31E-05,,
50917,2.09E-05,,
50917.5,2.43E-05,,
50918,2.68E-05,,
50918.5,4.08E-05,,
50919,3.45E-05,,
50919.5,1.80E-05,,
50920,2.55E-05,,
50920.5,2.18E-05,,
50921,1.90E-05,,
50921.5,2.67E-05,,
50922,3.09E-05,,
50922.5,2.31E-05,,
50923,2.75E-05,,
50923.5,2.16E-05,,
50924,2.63E-05,,
50924.5,2.63E-05,,
50925,2.44E-05,,
50925.5,2.92E-05,,
50926,2.30E-05,,
50926.5,1.81E-05,,
50927,1.77E-05,,
50927.5,2.21E-05,,
50928,2.07E-05,,
50928.5,2.80E-05,,
50929,2.41E-05,,
50929.5,2.18E-05,,
50930,2.31E-05,,
50930.5,2.32E-05,,
50931,2.64E-05,,
50931.5,2.02E-05,,
50932,1.80E-05,,
50932.5,2.21E-05,,
50933,2.57E-05,,
50933.5,3.39E-05,,
50934,2.08E-05,,
50934.5,2.54E-05,,
50935,1.86E-05,,
50935.5,1.53E-05,,
50936,1.74E-05,,
50936.5,1.27E-05,,
50937,1.75E-05,,
50937.5,2.44E-05,,
50938,2.00E-05,,
50938.5,2.24E-05,,
50939,1.75E-05,,
50939.5,1.86E-05,,
50940,2.00E-05,,
50940.5,2.40E-05,,
50941,3.07E-05,,
50941.5,1.79E-05,,
50942,2.72E-05,,
50942.5,2.59E-05,,
50943,2.16E-05,,
50943.5,2.21E-05,,
50944,2.49E-05,,
50944.5,2.57E-05,,
50945,1.96E-05,,
50945.5,1.93E-05,,
50946,3.41E-05,,
50946.5,2.99E-05,,
50947,2.19E-05,,
50947.5,2.07E-05,,
50948,2.27E-05,,
50948.5,2.01E-05,,
50949,2.30E-05,,
50949.5,2.95E-05,,
50950,2.24E-05,,
50950.5,3.28E-05,,
50951,2.73E-05,,
50951.5,2.19E-05,,
50952,1.89E-05,,
50952.5,2.39E-05,,
50953,2.58E-05,,
50953.5,2.45E-05,,
50954,2.68E-05,,
50954.5,2.02E-05,,
50955,2.83E-05,,
50955.5,2.64E-05,,
50956,1.54E-05,,
50956.5,1.62E-05,,
50957,2.78E-05,,
50957.5,2.95E-05,,
50958,2.18E-05,,
50958.5,1.32E-05,,
50959,1.49E-05,,
50959.5,1.96E-05,,
50960,1.85E-05,,
50960.5,1.11E-05,,
50961,1.47E-05,,
50961.5,2.75E-05,,
50962,2.78E-05,,
50962.5,3.22E-05,,
50963,3.79E-05,,
50963.5,2.14E-05,,
50964,1.81E-05,,
50964.5,1.68E-05,,
50965,1.67E-05,,
50965.5,2.26E-05,,
50966,1.58E-05,,
50966.5,1.66E-05,,
50967,3.00E-05,,
50967.5,2.78E-05,,
50968,2.23E-05,,
50968.5,2.47E-05,,
50969,1.77E-05,,
50969.5,1.55E-05,,
50970,2.65E-05,,
50970.5,4.13E-05,,
50971,3.45E-05,,
50971.5,2.30E-05,,
50972,1.85E-05,,
50972.5,1.73E-05,,
50973,2.29E-05,,
50973.5,2.31E-05,,
50974,2.15E-05,,
50974.5,2.33E-05,,
50975,1.36E-05,,
50975.5,1.13E-05,,
50976,1.72E-05,,
50976.5,1.69E-05,,
50977,1.29E-05,,
50977.5,1.89E-05,,
50978,1.79E-05,,
50978.5,2.13E-05,,
50979,2.19E-05,,
50979.5,1.13E-05,,
50980,1.71E-05,,
50980.5,2.01E-05,,
50981,2.33E-05,,
50981.5,2.58E-05,,
50982,1.76E-05,,
50982.5,1.31E-05,,
50983,1.52E-05,,
50983.5,2.17E-05,,
50984,2.65E-05,,
50984.5,2.92E-05,,
50985,1.54E-05,,
50985.5,2.23E-05,,
50986,2.81E-05,,
50986.5,2.01E-05,,
50987,1.57E-05,,
50987.5,1.66E-05,,
50988,1.88E-05,,
50988.5,2.41E-05,,
50989,2.03E-05,,
50989.5,3.21E-05,,
50990,2.53E-05,,
50990.5,1.87E-05,,
50991,2.29E-05,,
50991.5,1.47E-05,,
50992,1.27E-05,,
50992.5,2.44E-05,,
50993,3.05E-05,,
50993.5,2.74E-05,,
50994,2.64E-05,,
50994.5,2.24E-05,,
50995,2.37E-05,,
50995.5,3.01E-05,,
50996,2.80E-05,,
50996.5,1.83E-05,,
50997,1.68E-05,,
50997.5,1.68E-05,,
50998,2.15E-05,,
50998.5,2.61E-05,,
50999,1.70E-05,,
50999.5,1.63E-05,,
51000,2.31E-05,,
51000.5,1.74E-05,,
51001,1.87E-05,,
51001.5,2.63E-05,,
51002,2.69E-05,,
51002.5,3.07E-05,,
51003,3.49E-05,,
51003.5,3.09E-05,,
51004,2.06E-05,,
51004.5,2.65E-05,,
51005,2.65E-05,,
51005.5,2.49E-05,,
51006,2.18E-05,,
51006.5,2.38E-05,,
51007,1.59E-05,,
51007.5,1.64E-05,,
51008,1.93E-05,,
51008.5,2.68E-05,,
51009,1.90E-05,,
51009.5,2.21E-05,,
51010,3.18E-05,,
51010.5,2.92E-05,,
51011,2.81E-05,,
51011.5,2.13E-05,,
51012,1.95E-05,,
51012.5,3.15E-05,,
51013,2.62E-05,,
51013.5,2.11E-05,,
51014,1.54E-05,,
51014.5,1.74E-05,,
51015,1.93E-05,,
51015.5,1.58E-05,,
51016,2.47E-05,,
51016.5,4.03E-05,,
51017,2.49E-05,,
51017.5,2.47E-05,,
51018,3.30E-05,,
51018.5,2.60E-05,,
51019,2.05E-05,,
51019.5,2.33E-05,,
51020,3.97E-05,,
51020.5,2.75E-05,,
51021,1.03E-05,,
51021.5,1.38E-05,,
51022,1.72E-05,,
51022.5,2.44E-05,,
51023,2.11E-05,,
51023.5,2.40E-05,,
51024,2.85E-05,,
51024.5,2.65E-05,,
51025,2.01E-05,,
51025.5,1.90E-05,,
51026,2.20E-05,,
51026.5,2.70E-05,,
51027,1.52E-05,,
51027.5,1.79E-05,,
51028,1.76E-05,,
51028.5,1.56E-05,,
51029,1.99E-05,,
51029.5,1.61E-05,,
51030,1.80E-05,,
51030.5,2.58E-05,,
51031,2.33E-05,,
51031.5,2.27E-05,,
51032,2.48E-05,,
51032.5,2.00E-05,,
51033,1.28E-05,,
51033.5,1.46E-05,,
51034,2.24E-05,,
51034.5,3.00E-05,,
51035,1.52E-05,,
51035.5,8.35E-06,,
51036,1.21E-05,,
51036.5,1.82E-05,,
51037,2.09E-05,,
51037.5,2.25E-05,,
51038,1.31E-05,,
51038.5,1.25E-05,,
51039,1.11E-05,,
51039.5,1.51E-05,,
51040,1.49E-05,,
51040.5,2.38E-05,,
51041,1.92E-05,,
51041.5,1.36E-05,,
51042,2.03E-05,,
51042.5,2.13E-05,,
51043,2.42E-05,,
51043.5,2.07E-05,,
51044,1.31E-05,,
51044.5,1.94E-05,,
51045,3.17E-05,,
51045.5,3.35E-05,,
51046,2.62E-05,,
51046.5,2.95E-05,,
51047,2.85E-05,,
51047.5,3.21E-05,,
51048,3.51E-05,,
51048.5,2.14E-05,,
51049,2.20E-05,,
51049.5,2.12E-05,,
51050,2.14E-05,,
51050.5,2.44E-05,,
51051,2.43E-05,,
51051.5,2.46E-05,,
51052,2.44E-05,,
51052.5,2.17E-05,,
51053,2.17E-05,,
51053.5,2.64E-05,,
51054,2.50E-05,,
51054.5,2.17E-05,,
51055,2.27E-05,,
51055.5,3.07E-05,,
51056,3.63E-05,,
51056.5,2.64E-05,,
51057,2.42E-05,,
51057.5,1.93E-05,,
51058,2.00E-05,,
51058.5,3.32E-05,,
51059,1.76E-05,,
51059.5,2.09E-05,,
51060,3.08E-05,,
51060.5,1.93E-05,,
51061,2.03E-05,,
51061.5,2.43E-05,,
51062,1.81E-05,,
51062.5,1.80E-05,,
51063,2.62E-05,,
51063.5,2.00E-05,,
51064,1.61E-05,,
51064.5,2.73E-05,,
51065,2.36E-05,,
51065.5,2.33E-05,,
51066,2.28E-05,,
51066.5,2.17E-05,,
51067,2.38E-05,,
51067.5,1.82E-05,,
51068,1.35E-05,,
51068.5,2.01E-05,,
51069,3.15E-05,,
51069.5,2.83E-05,,
51070,2.83E-05,,
51070.5,3.30E-05,,
51071,3.10E-05,,
51071.5,1.65E-05,,
51072,1.18E-05,,
51072.5,1.95E-05,,
51073,2.58E-05,,
51073.5,2.27E-05,,
51074,1.91E-05,,
51074.5,1.33E-05,,
51075,3.23E-05,,
51075.5,3.89E-05,,
51076,2.99E-05,,
51076.5,2.67E-05,,
51077,1.97E-05,,
51077.5,2.40E-05,,
51078,2.32E-05,,
51078.5,2.29E-05,,
51079,1.75E-05,,
51079.5,2.59E-05,,
51080,3.63E-05,,
51080.5,3.15E-05,,
51081,2.50E-05,,
51081.5,1.69E-05,,
51082,2.62E-05,,
51082.5,2.91E-05,,
51083,2.78E-05,,
51083.5,2.90E-05,,
51084,2.45E-05,,
51084.5,3.11E-05,,
51085,3.23E-05,,
51085.5,2.00E-05,,
51086,2.68E-05,,
51086.5,2.30E-05,,
51087,1.74E-05,,
51087.5,1.54E-05,,
51088,1.38E-05,,
51088.5,1.78E-05,,
51089,2.37E-05,,
51089.5,1.92E-05,,
51090,2.93E-05,,
51090.5,2.80E-05,,
51091,2.28E-05,,
51091.5,2.84E-05,,
51092,1.76E-05,,
51092.5,1.85E-05,,
51093,1.80E-05,,
51093.5,2.70E-05,,
51094,2.90E-05,,
51094.5,1.84E-05,,
51095,2.13E-05,,
51095.5,2.00E-05,,
51096,1.75E-05,,
51096.5,2.11E-05,,
51097,2.75E-05,,
51097.5,2.32E-05,,
51098,1.46E-05,,
51098.5,2.42E-05,,
51099,2.71E-05,,
51099.5,3.08E-05,,
51100,3.56E-05,,
51100.5,3.39E-05,,
51101,2.47E-05,,
51101.5,1.94E-05,,
51102,1.60E-05,,
51102.5,2.52E-05,,
51103,3.26E-05,,
51103.5,1.86E-05,,
51104,2.22E-05,,
51104.5,2.86E-05,,
51105,3.29E-05,,
51105.5,2.44E-05,,
51106,1.52E-05,,
51106.5,1.82E-05,,
51107,2.35E-05,,
51107.5,3.19E-05,,
51108,3.16E-05,,
51108.5,2.29E-05,,
51109,2.55E-05,,
51109.5,2.37E-05,,
51110,2.03E-05,,
51110.5,2.06E-05,,
51111,3.38E-05,,
51111.5,3.52E-05,,
51112,3.30E-05,,
51112.5,2.85E-05,,
51113,3.00E-05,,
51113.5,3.06E-05,,
51114,2.78E-05,,
51114.5,1.92E-05,,
51115,1.96E-05,,
51115.5,2.53E-05,,
51116,2.29E-05,,
51116.5,2.94E-05,,
51117,2.14E-05,,
51117.5,1.71E-05,,
51118,2.10E-05,,
51118.5,2.78E-05,,
51119,2.43E-05,,
51119.5,2.47E-05,,
51120,3.31E-05,,
51120.5,2.14E-05,,
51121,2.18E-05,,
51121.5,1.74E-05,,
51122,2.03E-05,,
51122.5,1.91E-05,,
51123,2.06E-05,,
51123.5,1.94E-05,,
51124,2.16E-05,,
51124.5,1.59E-05,,
51125,1.72E-05,,
51125.5,1.53E-05,,
51126,1.44E-05,,
51126.5,1.87E-05,,
51127,2.00E-05,,
51127.5,2.26E-05,,
51128,2.05E-05,,
51128.5,2.68E-05,,
51129,2.85E-05,,
51129.5,2.47E-05,,
51130,2.90E-05,,
51130.5,2.78E-05,,
51131,1.92E-05,,
51131.5,1.94E-05,,
51132,1.38E-05,,
51132.5,2.07E-05,,
51133,2.90E-05,,
51133.5,3.32E-05,,
51134,2.57E-05,,
51134.5,2.08E-05,,
51135,1.45E-05,,
51135.5,1.62E-05,,
51136,1.57E-05,,
51136.5,2.10E-05,,
51137,1.63E-05,,
51137.5,2.92E-05,,
51138,3.04E-05,,
51138.5,2.07E-05,,
51139,2.38E-05,,
51139.5,2.21E-05,,
51140,2.90E-05,,
51140.5,3.25E-05,,
51141,2.81E-05,,
51141.5,1.20E-05,,
51142,1.47E-05,,
51142.5,1.91E-05,,
51143,2.37E-05,,
51143.5,2.24E-05,,
51144,2.90E-05,,
51144.5,3.21E-05,,
51145,2.81E-05,,
51145.5,3.03E-05,,
51146,3.73E-05,,
51146.5,3.53E-05,,
51147,3.13E-05,,
51147.5,3.12E-05,,
51148,3.29E-05,,
51148.5,2.87E-05,,
51149,2.16E-05,,
51149.5,2.54E-05,,
51150,2.40E-05,,
51150.5,1.84E-05,,
51151,1.65E-05,,
51151.5,1.81E-05,,
51152,2.29E-05,,
51152.5,2.28E-05,,
51153,2.17E-05,,
51153.5,2.40E-05,,
51154,2.49E-05,,
51154.5,2.70E-05,,
51155,2.16E-05,,
51155.5,2.38E-05,,
51156,2.57E-05,,
51156.5,2.44E-05,,
51157,3.44E-05,,
51157.5,2.77E-05,,
51158,1.20E-05,,
51158.5,1.54E-05,,
51159,2.52E-05,,
51159.5,2.13E-05,,
51160,2.10E-05,,
51160.5,1.99E-05,,
51161,2.37E-05,,
51161.5,2.91E-05,,
51162,3.09E-05,,
51162.5,3.56E-05,,
51163,3.26E-05,,
51163.5,1.60E-05,,
51164,2.35E-05,,
51164.5,2.16E-05,,
51165,1.62E-05,,
51165.5,1.79E-05,,
51166,2.46E-05,,
51166.5,1.80E-05,,
51167,1.98E-05,,
51167.5,2.34E-05,,
51168,2.37E-05,,
51168.5,2.00E-05,,
51169,2.54E-05,,
51169.5,2.38E-05,,
51170,1.87E-05,,
51170.5,1.03E-05,,
51171,1.33E-05,,
51171.5,2.22E-05,,
51172,2.20E-05,,
51172.5,2.26E-05,,
51173,2.85E-05,,
51173.5,2.66E-05,,
51174,1.81E-05,,
51174.5,2.24E-05,,
51175,2.32E-05,,
51175.5,1.98E-05,,
51176,1.61E-05,,
51176.5,1.80E-05,,
51177,2.20E-05,,
51177.5,2.69E-05,,
51178,2.04E-05,,
51178.5,1.85E-05,,
51179,2.60E-05,,
51179.5,3.80E-05,,
51180,2.29E-05,,
51180.5,1.45E-05,,
51181,2.15E-05,,
51181.5,2.04E-05,,
51182,2.01E-05,,
51182.5,1.50E-05,,
51183,1.58E-05,,
51183.5,2.01E-05,,
51184,1.47E-05,,
51184.5,1.37E-05,,
51185,1.65E-05,,
51185.5,1.35E-05,,
51186,2.16E-05,,
51186.5,2.12E-05,,
51187,2.40E-05,,
51187.5,1.88E-05,,
51188,2.33E-05,,
51188.5,2.75E-05,,
51189,2.93E-05,,
51189.5,2.93E-05,,
51190,2.11E-05,,
51190.5,2.02E-05,,
51191,2.29E-05,,
51191.5,2.78E-05,,
51192,2.20E-05,,
51192.5,2.40E-05,,
51193,2.70E-05,,
51193.5,3.03E-05,,
51194,3.06E-05,,
51194.5,2.32E-05,,
51195,1.84E-05,,
51195.5,2.18E-05,,
51196,3.40E-05,,
51196.5,3.28E-05,,
51197,2.88E-05,,
51197.5,2.36E-05,,
51198,1.90E-05,,
51198.5,2.52E-05,,
51199,2.18E-05,,
51199.5,2.73E-05,,
51200,3.02E-05,,
51200.5,1.65E-05,,
51201,1.79E-05,,
51201.5,2.94E-05,,
51202,2.75E-05,,
51202.5,2.22E-05,,
51203,1.94E-05,,
51203.5,2.67E-05,,
51204,1.89E-05,,
51204.5,1.61E-05,,
51205,1.98E-05,,
51205.5,1.47E-05,,
51206,1.67E-05,,
51206.5,1.79E-05,,
51207,1.78E-05,,
51207.5,2.33E-05,,
51208,1.75E-05,,
51208.5,2.31E-05,,
51209,1.94E-05,,
51209.5,8.12E-06,,
51210,1.08E-05,,
51210.5,1.94E-05,,
51211,3.15E-05,,
51211.5,2.33E-05,,
51212,2.06E-05,,
51212.5,1.72E-05,,
51213,1.48E-05,,
51213.5,1.65E-05,,
51214,1.48E-05,,
51214.5,1.21E-05,,
51215,2.16E-05,,
51215.5,2.36E-05,,
51216,1.80E-05,,
51216.5,2.34E-05,,
51217,1.90E-05,,
51217.5,1.48E-05,,
51218,2.13E-05,,
51218.5,2.62E-05,,
51219,2.32E-05,,
51219.5,1.87E-05,,
51220,1.96E-05,,
51220.5,2.12E-05,,
51221,1.69E-05,,
51221.5,1.95E-05,,
51222,2.80E-05,,
51222.5,2.57E-05,,
51223,2.95E-05,,
51223.5,2.35E-05,,
51224,2.64E-05,,
51224.5,2.28E-05,,
51225,1.81E-05,,
51225.5,2.06E-05,,
51226,3.17E-05,,
51226.5,3.52E-05,,
51227,2.86E-05,,
51227.5,2.45E-05,,
51228,2.80E-05,,
51228.5,2.80E-05,,
51229,2.42E-05,,
51229.5,2.22E-05,,
51230,1.71E-05,,
51230.5,2.70E-05,,
51231,1.61E-05,,
51231.5,1.97E-05,,
51232,2.96E-05,,
51232.5,2.61E-05,,
51233,2.23E-05,,
51233.5,3.11E-05,,
51234,2.68E-05,,
51234.5,2.86E-05,,
51235,2.76E-05,,
51235.5,2.27E-05,,
51236,2.47E-05,,
51236.5,2.09E-05,,
51237,1.50E-05,,
51237.5,1.57E-05,,
51238,2.09E-05,,
51238.5,2.87E-05,,
51239,2.66E-05,,
51239.5,2.00E-05,,
51240,2.46E-05,,
51240.5,1.86E-05,,
51241,1.52E-05,,
51241.5,1.39E-05,,
51242,2.10E-05,,
51242.5,2.27E-05,,
51243,2.06E-05,,
51243.5,1.54E-05,,
51244,2.04E-05,,
51244.5,3.50E-05,,
51245,4.01E-05,,
51245.5,2.55E-05,,
51246,1.44E-05,,
51246.5,8.38E-06,,
51247,2.18E-05,,
51247.5,2.74E-05,,
51248,2.96E-05,,
51248.5,2.37E-05,,
51249,2.17E-05,,
51249.5,1.48E-05,,
51250,1.13E-05,,
51250.5,1.42E-05,,
51251,2.32E-05,,
51251.5,1.71E-05,,
51252,2.16E-05,,
51252.5,2.22E-05,,
51253,2.99E-05,,
51253.5,1.97E-05,,
51254,2.17E-05,,
51254.5,3.13E-05,,
51255,2.95E-05,,
51255.5,1.67E-05,,
51256,2.14E-05,,
51256.5,2.36E-05,,
51257,2.40E-05,,
51257.5,1.88E-05,,
51258,2.57E-05,,
51258.5,2.12E-05,,
51259,2.16E-05,,
51259.5,2.36E-05,,
51260,2.56E-05,,
51260.5,2.24E-05,,
51261,2.87E-05,,
51261.5,2.30E-05,,
51262,1.45E-05,,
51262.5,1.81E-05,,
51263,2.22E-05,,
51263.5,2.67E-05,,
51264,1.99E-05,,
51264.5,2.11E-05,,
51265,2.03E-05,,
51265.5,2.60E-05,,
51266,3.10E-05,,
51266.5,2.11E-05,,
51267,1.83E-05,,
51267.5,3.08E-05,,
51268,4.62E-05,,
51268.5,3.79E-05,,
51269,3.26E-05,,
51269.5,2.02E-05,,
51270,1.82E-05,,
51270.5,4.16E-05,,
51271,3.29E-05,,
51271.5,2.63E-05,,
51272,2.33E-05,,
51272.5,2.01E-05,,
51273,2.12E-05,,
51273.5,1.88E-05,,
51274,2.10E-05,,
51274.5,2.78E-05,,
51275,2.40E-05,,
51275.5,1.78E-05,,
51276,1.03E-05,,
51276.5,2.13E-05,,
51277,1.71E-05,,
51277.5,1.90E-05,,
51278,2.42E-05,,
51278.5,2.30E-05,,
51279,1.96E-05,,
51279.5,1.90E-05,,
51280,2.46E-05,,
51280.5,2.51E-05,,
51281,2.19E-05,,
51281.5,3.79E-05,,
51282,3.55E-05,,
51282.5,1.37E-05,,
51283,1.90E-05,,
51283.5,3.45E-05,,
51284,2.73E-05,,
51284.5,2.28E-05,,
51285,2.26E-05,,
51285.5,2.19E-05,,
51286,1.64E-05,,
51286.5,2.60E-05,,
51287,2.99E-05,,
51287.5,2.64E-05,,
51288,2.05E-05,,
51288.5,1.42E-05,,
51289,1.85E-05,,
51289.5,1.58E-05,,
51290,2.05E-05,,
51290.5,2.84E-05,,
51291,2.67E-05,,
51291.5,1.98E-05,,
51292,2.64E-05,,
51292.5,3.21E-05,,
51293,3.08E-05,,
51293.5,2.99E-05,,
51294,2.54E-05,,
51294.5,2.26E-05,,
51295,1.59E-05,,
51295.5,3.09E-05,,
51296,2.89E-05,,
51296.5,1.67E-05,,
51297,2.20E-05,,
51297.5,1.83E-05,,
51298,1.96E-05,,
51298.5,2.37E-05,,
51299,3.59E-05,,
51299.5,2.85E-05,,
51300,2.78E-05,,
51300.5,3.09E-05,,
51301,1.93E-05,,
51301.5,2.00E-05,,
51302,2.15E-05,,
51302.5,2.14E-05,,
51303,1.69E-05,,
51303.5,2.15E-05,,
51304,2.31E-05,,
51304.5,2.79E-05,,
51305,2.46E-05,,
51305.5,2.16E-05,,
51306,2.26E-05,,
51306.5,1.99E-05,,
51307,2.60E-05,,
51307.5,2.12E-05,,
51308,1.84E-05,,
51308.5,2.28E-05,,
51309,2.37E-05,,
51309.5,2.27E-05,,
51310,2.33E-05,,
51310.5,2.24E-05,,
51311,2.18E-05,,
51311.5,2.18E-05,,
51312,1.64E-05,,
51312.5,1.99E-05,,
51313,2.37E-05,,
51313.5,2.03E-05,,
51314,3.40E-05,,
51314.5,2.73E-05,,
51315,1.39E-05,,
51315.5,1.56E-05,,
51316,2.27E-05,,
51316.5,2.00E-05,,
51317,2.13E-05,,
51317.5,2.76E-05,,
51318,2.11E-05,,
51318.5,1.47E-05,,
51319,1.95E-05,,
51319.5,2.85E-05,,
51320,3.01E-05,,
51320.5,2.25E-05,,
51321,2.69E-05,,
51321.5,1.82E-05,,
51322,2.65E-05,,
51322.5,2.69E-05,,
51323,2.12E-05,,
51323.5,2.09E-05,,
51324,1.37E-05,,
51324.5,1.95E-05,,
51325,2.19E-05,,
51325.5,1.90E-05,,
51326,2.95E-05,,
51326.5,2.26E-05,,
51327,1.95E-05,,
51327.5,1.95E-05,,
51328,1.83E-05,,
51328.5,1.83E-05,,
51329,2.41E-05,,
51329.5,2.97E-05,,
51330,3.79E-05,,
51330.5,2.97E-05,,
51331,2.50E-05,,
51331.5,2.50E-05,,
51332,2.37E-05,,
51332.5,1.89E-05,,
51333,1.79E-05,,
51333.5,1.85E-05,,
51334,1.45E-05,,
51334.5,2.53E-05,,
51335,3.02E-05,,
51335.5,2.24E-05,,
51336,2.61E-05,,
51336.5,2.81E-05,,
51337,2.57E-05,,
51337.5,1.71E-05,,
51338,1.34E-05,,
51338.5,2.11E-05,,
51339,2.62E-05,,
51339.5,2.45E-05,,
51340,1.52E-05,,
51340.5,1.19E-05,,
51341,1.16E-05,,
51341.5,1.71E-05,,
51342,2.48E-05,,
51342.5,2.68E-05,,
51343,2.66E-05,,
51343.5,2.82E-05,,
51344,2.41E-05,,
51344.5,2.67E-05,,
51345,2.70E-05,,
51345.5,2.29E-05,,
51346,1.15E-05,,
51346.5,1.63E-05,,
51347,2.51E-05,,
51347.5,2.92E-05,,
51348,2.86E-05,,
51348.5,2.50E-05,,
51349,2.70E-05,,
51349.5,2.99E-05,,
51350,3.56E-05,,
51350.5,4.24E-05,,
51351,3.21E-05,,
51351.5,2.70E-05,,
51352,3.10E-05,,
51352.5,3.22E-05,,
51353,1.89E-05,,
51353.5,2.00E-05,,
51354,2.59E-05,,
51354.5,2.66E-05,,
51355,1.77E-05,,
51355.5,2.09E-05,,
51356,2.82E-05,,
51356.5,2.61E-05,,
51357,2.74E-05,,
51357.5,2.74E-05,,
51358,2.79E-05,,
51358.5,2.66E-05,,
51359,2.24E-05,,
51359.5,1.99E-05,,
51360,2.10E-05,,
51360.5,1.99E-05,,
51361,2.20E-05,,
51361.5,2.90E-05,,
51362,1.99E-05,,
51362.5,1.64E-05,,
51363,2.47E-05,,
51363.5,2.75E-05,,
51364,2.79E-05,,
51364.5,3.38E-05,,
51365,3.91E-05,,
51365.5,2.89E-05,,
51366,2.74E-05,,
51366.5,2.23E-05,,
51367,2.47E-05,,
51367.5,2.68E-05,,
51368,2.07E-05,,
51368.5,1.86E-05,,
51369,2.26E-05,,
51369.5,3.44E-05,,
51370,2.84E-05,,
51370.5,2.56E-05,,
51371,2.16E-05,,
51371.5,2.17E-05,,
51372,3.80E-05,,
51372.5,3.93E-05,,
51373,2.16E-05,,
51373.5,3.03E-05,,
51374,3.68E-05,,
51374.5,2.48E-05,,
51375,2.05E-05,,
51375.5,3.15E-05,,
51376,3.15E-05,,
51376.5,1.90E-05,,
51377,2.49E-05,,
51377.5,2.05E-05,,
51378,2.29E-05,,
51378.5,2.93E-05,,
51379,2.85E-05,,
51379.5,2.30E-05,,
51380,2.44E-05,,
51380.5,2.68E-05,,
51381,2.02E-05,,
51381.5,1.81E-05,,
51382,2.52E-05,,
51382.5,2.62E-05,,
51383,2.85E-05,,
51383.5,2.19E-05,,
51384,1.61E-05,,
51384.5,1.91E-05,,
51385,1.73E-05,,
51385.5,1.77E-05,,
51386,2.76E-05,,
51386.5,3.03E-05,,
51387,2.33E-05,,
51387.5,2.86E-05,,
51388,3.25E-05,,
51388.5,2.91E-05,,
51389,2.81E-05,,
51389.5,3.07E-05,,
51390,3.73E-05,,
51390.5,2.94E-05,,
51391,2.52E-05,,
51391.5,2.77E-05,,
51392,2.17E-05,,
51392.5,2.23E-05,,
51393,2.53E-05,,
51393.5,2.54E-05,,
51394,2.82E-05,,
51394.5,4.31E-05,,
51395,2.87E-05,,
51395.5,2.43E-05,,
51396,2.32E-05,,
51396.5,2.26E-05,,
51397,3.01E-05,,
51397.5,2.76E-05,,
51398,2.73E-05,,
51398.5,2.88E-05,,
51399,1.51E-05,,
51399.5,1.22E-05,,
51400,2.45E-05,,
51400.5,2.67E-05,,
51401,1.94E-05,,
51401.5,2.07E-05,,
51402,3.04E-05,,
51402.5,2.70E-05,,
51403,2.33E-05,,
51403.5,1.79E-05,,
51404,1.66E-05,,
51404.5,2.61E-05,,
51405,2.62E-05,,
51405.5,1.63E-05,,
51406,1.88E-05,,
51406.5,2.39E-05,,
51407,3.51E-05,,
51407.5,3.54E-05,,
51408,2.60E-05,,
51408.5,2.33E-05,,
51409,1.55E-05,,
51409.5,2.33E-05,,
51410,2.38E-05,,
51410.5,2.38E-05,,
51411,2.53E-05,,
51411.5,3.12E-05,,
51412,2.41E-05,,
51412.5,1.93E-05,,
51413,1.69E-05,,
51413.5,1.53E-05,,
51414,2.29E-05,,
51414.5,2.51E-05,,
51415,1.95E-05,,
51415.5,2.44E-05,,
51416,2.77E-05,,
51416.5,3.27E-05,,
51417,2.78E-05,,
51417.5,2.39E-05,,
51418,1.94E-05,,
51418.5,1.94E-05,,
51419,2.48E-05,,
51419.5,2.16E-05,,
51420,1.52E-05,,
51420.5,2.47E-05,,
51421,2.41E-05,,
51421.5,1.01E-05,,
51422,1.35E-05,,
51422.5,1.74E-05,,
51423,1.60E-05,,
