Frequency [Hz] - Plot 0,nm^2/Hz - Plot 0,temp [K],averages
274.5,1.54E-05,,
275,1.50E-05,,
275.5,1.67E-05,,
276,1.68E-05,,
276.5,2.22E-05,,
277,2.05E-05,,
277.5,1.77E-05,,
278,1.28E-05,,
278.5,1.58E-05,,
279,1.53E-05,,
279.5,1.53E-05,,
280,1.48E-05,,
280.5,1.43E-05,,
281,1.22E-05,,
281.5,2.16E-05,,
282,1.65E-05,,
282.5,1.46E-05,,
283,1.57E-05,,
283.5,1.56E-05,,
284,1.45E-05,,
284.5,2.23E-05,,
285,2.11E-05,,
285.5,1.28E-05,,
286,1.63E-05,,
286.5,2.21E-05,,
287,2.16E-05,,
287.5,1.91E-05,,
288,2.18E-05,,
288.5,1.63E-05,,
289,1.25E-05,,
289.5,1.64E-05,,
290,2.38E-05,,
290.5,2.22E-05,,
291,1.07E-05,,
291.5,1.43E-05,,
292,1.93E-05,,
292.5,2.29E-05,,
293,1.60E-05,,
293.5,2.02E-05,,
294,1.77E-05,,
294.5,1.32E-05,,
295,1.72E-05,,
295.5,1.84E-05,,
296,1.20E-05,,
296.5,1.40E-05,,
297,1.48E-05,,
297.5,1.44E-05,,
298,1.38E-05,,
298.5,1.92E-05,,
299,1.54E-05,,
299.5,1.79E-05,,
300,2.20E-05,,
300.5,1.49E-05,,
301,1.13E-05,,
301.5,1.22E-05,,
302,1.89E-05,,
302.5,1.35E-05,,
303,1.57E-05,,
303.5,1.41E-05,,
304,1.49E-05,,
304.5,1.52E-05,,
305,9.82E-06,,
305.5,1.04E-05,,
306,1.39E-05,,
306.5,1.86E-05,,
307,1.65E-05,,
307.5,1.26E-05,,
308,1.32E-05,,
308.5,9.51E-06,,
309,9.68E-06,,
309.5,1.26E-05,,
310,1.40E-05,,
310.5,1.45E-05,,
311,1.17E-05,,
311.5,1.75E-05,,
312,1.42E-05,,
312.5,1.15E-05,,
313,1.17E-05,,
313.5,1.50E-05,,
314,1.90E-05,,
314.5,1.50E-05,,
315,1.91E-05,,
315.5,1.92E-05,,
316,1.36E-05,,
316.5,1.72E-05,,
317,1.95E-05,,
317.5,1.60E-05,,
318,8.91E-06,,
318.5,1.69E-05,,
319,2.51E-05,,
319.5,2.58E-05,,
320,2.13E-05,,
320.5,8.81E-06,,
321,9.75E-06,,
321.5,1.20E-05,,
322,1.02E-05,,
322.5,1.28E-05,,
323,1.39E-05,,
323.5,1.54E-05,,
324,8.30E-06,,
324.5,1.79E-05,,
325,2.59E-05,,
325.5,2.23E-05,,
326,1.43E-05,,
326.5,1.21E-05,,
327,7.54E-06,,
327.5,1.65E-05,,
328,1.95E-05,,
328.5,1.10E-05,,
329,1.10E-05,,
329.5,1.72E-05,,
330,1.63E-05,,
330.5,1.71E-05,,
331,1.44E-05,,
331.5,1.66E-05,,
332,1.82E-05,,
332.5,1.72E-05,,
333,1.66E-05,,
333.5,1.57E-05,,
334,2.40E-05,,
334.5,2.13E-05,,
335,1.72E-05,,
335.5,1.06E-05,,
336,1.65E-05,,
336.5,2.00E-05,,
337,1.54E-05,,
337.5,1.53E-05,,
338,1.40E-05,,
338.5,8.84E-06,,
339,8.81E-06,,
339.5,1.05E-05,,
340,1.25E-05,,
340.5,1.52E-05,,
341,1.83E-05,,
341.5,1.92E-05,,
342,1.77E-05,,
342.5,1.33E-05,,
343,1.14E-05,,
343.5,1.61E-05,,
344,1.26E-05,,
344.5,1.34E-05,,
345,1.08E-05,,
345.5,1.01E-05,,
346,1.31E-05,,
346.5,1.53E-05,,
347,1.39E-05,,
347.5,1.08E-05,,
348,1.37E-05,,
348.5,1.64E-05,,
349,1.53E-05,,
349.5,1.10E-05,,
350,1.38E-05,,
350.5,1.45E-05,,
351,1.88E-05,,
351.5,2.23E-05,,
352,1.72E-05,,
352.5,2.32E-05,,
353,2.38E-05,,
353.5,1.90E-05,,
354,2.37E-05,,
354.5,2.15E-05,,
355,1.71E-05,,
355.5,1.57E-05,,
356,1.24E-05,,
356.5,1.32E-05,,
357,1.97E-05,,
357.5,2.78E-05,,
358,2.53E-05,,
358.5,2.99E-05,,
359,2.81E-05,,
359.5,1.79E-05,,
360,1.51E-05,,
360.5,1.81E-05,,
361,1.81E-05,,
361.5,1.91E-05,,
362,1.82E-05,,
362.5,1.31E-05,,
363,1.09E-05,,
363.5,1.60E-05,,
364,1.86E-05,,
364.5,2.35E-05,,
365,2.34E-05,,
365.5,1.30E-05,,
366,1.53E-05,,
366.5,1.74E-05,,
367,2.00E-05,,
367.5,2.03E-05,,
368,1.88E-05,,
368.5,2.15E-05,,
369,1.73E-05,,
369.5,1.63E-05,,
370,1.31E-05,,
370.5,7.64E-06,,
371,1.15E-05,,
371.5,1.50E-05,,
372,1.91E-05,,
372.5,2.36E-05,,
373,1.94E-05,,
373.5,1.19E-05,,
374,1.91E-05,,
374.5,1.67E-05,,
375,1.57E-05,,
375.5,2.15E-05,,
376,1.29E-05,,
376.5,1.55E-05,,
377,1.48E-05,,
377.5,2.06E-05,,
378,1.89E-05,,
378.5,1.70E-05,,
379,1.90E-05,,
379.5,1.79E-05,,
380,1.83E-05,,
380.5,1.61E-05,,
381,1.02E-05,,
381.5,9.77E-06,,
382,1.24E-05,,
382.5,1.13E-05,,
383,1.59E-05,,
383.5,1.66E-05,,
384,9.84E-06,,
384.5,1.08E-05,,
385,1.06E-05,,
385.5,1.45E-05,,
386,1.41E-05,,
386.5,1.35E-05,,
387,1.06E-05,,
387.5,1.29E-05,,
388,1.63E-05,,
388.5,1.29E-05,,
389,1.34E-05,,
389.5,1.37E-05,,
390,1.99E-05,,
390.5,1.14E-05,,
391,1.57E-05,,
391.5,1.30E-05,,
392,1.70E-05,,
392.5,1.83E-05,,
393,1.93E-05,,
393.5,2.32E-05,,
394,1.85E-05,,
394.5,1.45E-05,,
395,1.30E-05,,
395.5,1.14E-05,,
396,1.78E-05,,
396.5,1.28E-05,,
397,1.30E-05,,
397.5,8.83E-06,,
398,1.12E-05,,
398.5,1.32E-05,,
399,1.03E-05,,
399.5,1.32E-05,,
400,1.72E-05,,
400.5,1.46E-05,,
401,1.04E-05,,
401.5,9.34E-06,,
402,1.06E-05,,
402.5,1.16E-05,,
403,1.15E-05,,
403.5,1.92E-05,,
404,1.55E-05,,
404.5,9.32E-06,,
405,1.50E-05,,
405.5,1.80E-05,,
406,1.98E-05,,
406.5,1.81E-05,,
407,2.06E-05,,
407.5,1.60E-05,,
408,1.42E-05,,
408.5,1.29E-05,,
409,1.20E-05,,
409.5,9.73E-06,,
410,1.15E-05,,
410.5,1.29E-05,,
411,1.05E-05,,
411.5,1.36E-05,,
412,1.55E-05,,
412.5,9.85E-06,,
413,1.37E-05,,
413.5,2.40E-05,,
414,2.27E-05,,
414.5,2.13E-05,,
415,2.22E-05,,
415.5,1.43E-05,,
416,1.48E-05,,
416.5,2.06E-05,,
417,1.43E-05,,
417.5,1.11E-05,,
418,8.82E-06,,
418.5,1.69E-05,,
419,2.59E-05,,
419.5,1.87E-05,,
420,2.15E-05,,
420.5,2.27E-05,,
421,1.43E-05,,
421.5,1.43E-05,,
422,1.34E-05,,
422.5,1.47E-05,,
423,1.93E-05,,
423.5,2.30E-05,,
424,1.95E-05,,
424.5,1.31E-05,,
425,1.42E-05,,
425.5,2.06E-05,,
426,2.51E-05,,
426.5,1.88E-05,,
427,1.40E-05,,
427.5,1.08E-05,,
428,1.64E-05,,
428.5,1.37E-05,,
429,9.15E-06,,
429.5,9.93E-06,,
430,1.29E-05,,
430.5,1.35E-05,,
431,1.78E-05,,
431.5,2.05E-05,,
432,1.70E-05,,
432.5,1.54E-05,,
433,1.90E-05,,
433.5,1.96E-05,,
434,1.64E-05,,
434.5,1.61E-05,,
435,1.48E-05,,
435.5,1.02E-05,,
436,1.36E-05,,
436.5,1.26E-05,,
437,1.82E-05,,
437.5,1.57E-05,,
438,1.66E-05,,
438.5,1.91E-05,,
439,1.68E-05,,
439.5,1.66E-05,,
440,1.92E-05,,
440.5,2.27E-05,,
441,1.77E-05,,
441.5,1.11E-05,,
442,1.91E-05,,
442.5,1.20E-05,,
443,1.14E-05,,
443.5,1.29E-05,,
444,1.14E-05,,
444.5,1.12E-05,,
445,1.03E-05,,
445.5,8.84E-06,,
446,1.05E-05,,
446.5,1.35E-05,,
447,1.61E-05,,
447.5,1.87E-05,,
448,2.06E-05,,
448.5,1.51E-05,,
449,1.30E-05,,
449.5,1.42E-05,,
450,1.76E-05,,
450.5,1.75E-05,,
451,1.87E-05,,
451.5,1.44E-05,,
452,1.29E-05,,
452.5,1.72E-05,,
453,3.04E-05,,
453.5,2.69E-05,,
454,2.50E-05,,
454.5,2.11E-05,,
455,2.12E-05,,
455.5,1.78E-05,,
456,1.53E-05,,
456.5,1.16E-05,,
457,1.69E-05,,
457.5,1.97E-05,,
458,1.18E-05,,
458.5,1.39E-05,,
459,1.19E-05,,
459.5,1.34E-05,,
460,1.43E-05,,
460.5,1.51E-05,,
461,1.98E-05,,
461.5,2.33E-05,,
462,2.31E-05,,
462.5,1.43E-05,,
463,1.24E-05,,
463.5,1.30E-05,,
464,1.69E-05,,
464.5,1.60E-05,,
465,1.23E-05,,
465.5,1.39E-05,,
466,1.84E-05,,
466.5,1.89E-05,,
467,1.34E-05,,
467.5,1.95E-05,,
468,1.56E-05,,
468.5,1.36E-05,,
469,1.11E-05,,
469.5,1.69E-05,,
470,2.03E-05,,
470.5,2.60E-05,,
471,2.21E-05,,
471.5,1.90E-05,,
472,2.06E-05,,
472.5,2.01E-05,,
473,1.97E-05,,
473.5,1.45E-05,,
474,1.73E-05,,
474.5,1.69E-05,,
475,2.22E-05,,
475.5,2.14E-05,,
476,1.28E-05,,
476.5,1.75E-05,,
477,1.66E-05,,
477.5,1.76E-05,,
478,1.73E-05,,
478.5,1.44E-05,,
479,1.04E-05,,
479.5,1.13E-05,,
480,1.26E-05,,
480.5,1.75E-05,,
481,1.71E-05,,
481.5,1.69E-05,,
482,1.70E-05,,
482.5,2.14E-05,,
483,2.34E-05,,
483.5,1.19E-05,,
484,1.59E-05,,
484.5,2.69E-05,,
485,2.06E-05,,
485.5,1.63E-05,,
486,1.83E-05,,
486.5,1.35E-05,,
487,1.85E-05,,
487.5,3.09E-05,,
488,2.81E-05,,
488.5,1.46E-05,,
489,1.55E-05,,
489.5,2.57E-05,,
490,1.79E-05,,
490.5,1.86E-05,,
491,1.39E-05,,
491.5,1.63E-05,,
